match_id,minute,location_y,pass_end_location,period,player,pass_recipient,pass_type,pass_length,second,timestamp,x,endx,y,endy
3895067,54,"(81.8, 17.3)","(94.3, 17.5)",2,Edmond Fayçal Tapsoba,Florian Wirtz,,12.5016,44,00:09:44.099,81.8,94.3,17.3,17.5
3895067,55,"(94.3, 17.7)","(92.9, 20.1)",2,Jonas Hofmann,Alejandro Grimaldo García,Free Kick,2.7784889,26,00:10:26.291,94.3,92.9,17.7,20.1
3895067,55,"(92.9, 20.1)","(112.7, 47.4)",2,Alejandro Grimaldo García,Jonathan Tah,,33.724323,28,00:10:28.536,92.9,112.7,20.1,47.4
3895067,55,"(96.3, 80.0)","(83.7, 77.8)",2,Granit Xhaka,Jeremie Frimpong,Throw-in,12.790622,41,00:10:41.007,96.3,83.7,80.0,77.8
3895067,55,"(77.7, 71.2)","(68.6, 45.6)",2,Jeremie Frimpong,Jonathan Tah,,27.169285,45,00:10:45.331,77.7,68.6,71.2,45.6
3895067,55,"(68.4, 42.2)","(73.3, 30.2)",2,Jonathan Tah,Edmond Fayçal Tapsoba,,12.961867,48,00:10:48.789,68.4,73.3,42.2,30.2
3895067,55,"(73.0, 26.1)","(87.9, 17.9)",2,Edmond Fayçal Tapsoba,Alejandro Grimaldo García,,17.00735,51,00:10:51.662,73.0,87.9,26.1,17.9
3895067,56,"(56.6, 63.3)","(62.8, 50.4)",2,Granit Xhaka,Jonas Hofmann,,14.312582,4,00:11:04.628,56.6,62.8,63.3,50.4
3895067,56,"(62.8, 50.4)","(49.8, 56.5)",2,Jonas Hofmann,Odilon Kossonou,,14.360014,5,00:11:05.471,62.8,49.8,50.4,56.5
3895067,56,"(50.0, 54.3)","(54.6, 30.1)",2,Odilon Kossonou,Jonathan Tah,,24.63331,7,00:11:07.645,50.0,54.6,54.3,30.1
3895067,56,"(55.2, 28.3)","(63.6, 12.3)",2,Jonathan Tah,Edmond Fayçal Tapsoba,,18.07097,10,00:11:10.171,55.2,63.6,28.3,12.3
3895067,56,"(63.6, 12.3)","(82.1, 12.6)",2,Edmond Fayçal Tapsoba,Victor Okoh Boniface,,18.502432,11,00:11:11.930,63.6,82.1,12.3,12.6
